,pdbid,-logKd/Ki,include,set
880,2bv4,3.22,True,general
881,2ri9,3.22,True,refined
882,2uy3,3.22,True,refined
883,3aru,3.22,True,core
884,3i8t,3.22,True,general
885,4n5d,3.22,True,refined
886,4tyl,3.22,True,general
887,4wn0,3.22,True,general
888,5n1y,3.22,True,general
889,5ou2,3.22,True,general
891,1px4,3.23,True,refined
892,2gmk,3.23,True,general
893,3zsy,3.23,True,refined
894,4kc4,3.23,True,general
895,4lm1,3.23,True,refined
896,4unp,3.23,True,refined
897,5ene,3.23,True,general
898,5qay,3.23,True,refined
899,2r8q,3.24,True,general
900,3qfz,3.24,True,refined
901,4b2l,3.24,True,refined
902,4k60,3.24,True,general
903,4luo,3.24,True,general
904,4qlk,3.24,True,refined
905,4y2u,3.24,True,general
906,5o0a,3.24,True,general
907,6er3,3.24,True,general
908,6g9b,3.24,True,general
909,1v2j,3.25,True,refined
910,2ndo,3.25,True,general
911,3ta1,3.25,True,refined
912,4lm0,3.25,True,refined
913,4zij,3.25,True,general
914,5oxl,3.25,True,general
915,1l5s,3.26,True,general
916,3t1l,3.26,True,general
917,4egh,3.26,True,general
918,4k66,3.26,True,general
919,4wkt,3.26,True,general
920,5yas,3.26,True,refined
921,1axr,3.27,True,general
922,3ioe,3.27,True,refined
923,4jbl,3.27,True,general
924,5jzs,3.27,True,general
925,5kdf,3.27,True,general
926,1bcu,3.28,True,core
927,1g9t,3.28,True,general
928,1x07,3.28,True,general
929,2xgs,3.28,True,general
930,3d52,3.28,True,refined
931,3ms4,3.28,True,general
932,3tfu,3.28,True,refined
933,3zsx,3.28,True,core
934,4eh7,3.28,True,general
935,4fl1,3.28,True,refined
936,4yv0,3.28,True,general
937,5moe,3.28,True,general
